shipment_id,order_id,status,shipped_date,delivery_date
SHIP-00182,182,Delivered,2026-01-29 04:08:23,2026-02-05 04:08:23
SHIP-00183,183,In Transit,2026-04-27 14:01:17,
SHIP-00184,184,Delivered,2025-10-27 19:27:32,2025-11-04 19:27:32
SHIP-00185,185,Cancelled,2026-02-18 21:48:26,
SHIP-00186,186,Cancelled,2026-08-20 10:10:19,
SHIP-00187,187,In Transit,2026-01-03 02:06:43,
SHIP-00188,188,Cancelled,2026-05-12 10:26:52,
SHIP-00189,189,In Transit,2026-04-26 18:40:39,
SHIP-00190,190,Delivered,2026-07-08 12:44:08,2026-07-12 12:44:08
SHIP-00191,191,Delivered,2026-07-09 17:47:06,2026-07-12 17:47:06
SHIP-00192,192,Delivered,2026-07-11 07:09:10,2026-07-16 07:09:10
SHIP-00193,193,In Transit,2026-01-18 05:26:12,
SHIP-00194,194,In Transit,2025-12-25 02:08:28,
SHIP-00195,195,Cancelled,2026-05-20 22:28:12,
SHIP-00196,196,Delivered,2026-06-04 19:05:58,2026-06-08 19:05:58
SHIP-00197,197,Delivered,2026-07-17 01:27:56,2026-07-25 01:27:56
SHIP-00198,198,Delivered,2025-09-13 13:02:54,2025-09-20 13:02:54
SHIP-00199,199,Delivered,2025-09-26 10:07:31,2025-10-01 10:07:31
SHIP-00200,200,Cancelled,2026-04-19 22:58:17,
SHIP-00201,201,Delivered,2026-08-03 19:00:32,2026-08-11 19:00:32
SHIP-00202,202,Cancelled,2026-08-30 17:33:42,
SHIP-00203,203,Delivered,2026-06-01 04:20:25,2026-06-05 04:20:25
SHIP-00204,204,In Transit,2026-02-06 22:27:19,
SHIP-00205,205,In Transit,2025-10-06 09:17:39,
SHIP-00206,206,Delivered,2026-04-20 21:38:48,2026-04-28 21:38:48
SHIP-00207,207,Delivered,2026-07-17 03:11:08,2026-07-24 03:11:08
SHIP-00208,208,Delivered,2026-02-09 11:32:42,2026-02-14 11:32:42
SHIP-00209,209,Delivered,2026-05-12 21:48:47,2026-05-20 21:48:47
SHIP-00210,210,Delivered,2026-07-28 09:33:50,2026-08-04 09:33:50
SHIP-00211,211,Cancelled,2025-09-18 05:30:40,
SHIP-00212,212,Delivered,2026-06-18 05:10:05,2026-06-21 05:10:05
SHIP-00213,213,Delivered,2025-12-16 13:57:25,2025-12-21 13:57:25
SHIP-00214,214,Delivered,2026-01-15 08:07:57,2026-01-19 08:07:57
SHIP-00215,215,In Transit,2025-10-24 14:23:43,
SHIP-00216,216,Cancelled,2026-03-14 10:26:31,
SHIP-00217,217,Delivered,2026-03-26 03:09:18,2026-03-28 03:09:18
SHIP-00218,218,In Transit,2026-06-16 21:24:03,
SHIP-00219,219,Delivered,2025-11-02 12:24:05,2025-11-07 12:24:05
SHIP-00220,220,Delivered,2025-09-30 06:34:59,2025-10-07 06:34:59
SHIP-00221,221,Delivered,2026-07-16 11:56:11,2026-07-22 11:56:11
SHIP-00222,222,Delivered,2026-04-15 18:35:52,2026-04-20 18:35:52
SHIP-00223,223,In Transit,2025-11-28 09:25:18,
SHIP-00224,224,Cancelled,2026-07-31 20:00:20,
SHIP-00225,225,Delivered,2025-10-23 16:54:04,2025-10-31 16:54:04
SHIP-00226,226,Cancelled,2026-02-15 20:41:42,
SHIP-00227,227,Cancelled,2025-12-02 04:40:11,
SHIP-00228,228,Delivered,2025-12-03 16:29:53,2025-12-09 16:29:53
SHIP-00229,229,Cancelled,2025-09-03 20:44:28,
SHIP-00230,230,Delivered,2026-06-21 07:35:09,2026-06-28 07:35:09
SHIP-00231,231,Delivered,2026-07-27 14:09:03,2026-08-02 14:09:03
SHIP-00232,232,Delivered,2026-05-05 22:08:23,2026-05-09 22:08:23
SHIP-00233,233,Delivered,2025-10-28 03:08:31,2025-11-05 03:08:31
SHIP-00234,234,Cancelled,2026-02-09 18:27:46,
SHIP-00235,235,Delivered,2026-01-04 15:30:39,2026-01-12 15:30:39
SHIP-00236,236,Delivered,2026-04-04 00:52:41,2026-04-12 00:52:41
SHIP-00237,237,Delivered,2026-04-21 19:08:55,2026-04-29 19:08:55
SHIP-00238,238,Cancelled,2026-02-03 09:45:21,
SHIP-00239,239,Delivered,2025-12-01 18:39:59,2025-12-05 18:39:59
SHIP-00240,240,Delivered,2026-07-07 04:05:48,2026-07-13 04:05:48
SHIP-00241,241,Delivered,2025-11-13 04:39:14,2025-11-20 04:39:14
SHIP-00242,242,Cancelled,2026-01-19 22:29:39,
SHIP-00243,243,Delivered,2026-02-24 22:03:05,2026-03-03 22:03:05
SHIP-00244,244,Delivered,2025-11-26 01:39:13,2025-11-30 01:39:13
SHIP-00245,245,Cancelled,2026-03-28 07:42:09,
SHIP-00246,246,Cancelled,2026-03-30 09:01:44,
SHIP-00247,247,In Transit,2026-08-29 00:03:56,
SHIP-00248,248,Cancelled,2025-12-18 06:17:14,
SHIP-00249,249,Delivered,2026-08-24 14:47:31,2026-08-31 14:47:31
SHIP-00250,250,Delivered,2026-04-29 20:15:00,2026-05-07 20:15:00
SHIP-00251,251,Cancelled,2025-12-10 16:23:40,
SHIP-00252,252,Delivered,2026-03-27 03:09:48,2026-03-30 03:09:48
SHIP-00253,253,Delivered,2026-05-09 21:55:09,2026-05-16 21:55:09
SHIP-00254,254,Delivered,2026-05-30 09:57:14,2026-06-07 09:57:14
SHIP-00255,255,Cancelled,2025-09-18 08:16:32,
SHIP-00256,256,Cancelled,2026-04-09 21:58:45,
SHIP-00257,257,Delivered,2026-02-28 20:33:27,2026-03-08 20:33:27
SHIP-00258,258,Delivered,2026-07-27 15:58:25,2026-08-04 15:58:25
SHIP-00259,259,Delivered,2025-12-14 23:04:29,2025-12-16 23:04:29
SHIP-00260,260,Delivered,2026-06-19 04:58:53,2026-06-23 04:58:53
SHIP-00261,261,Delivered,2026-04-10 03:45:05,2026-04-14 03:45:05
SHIP-00262,262,Cancelled,2026-01-08 02:43:35,
SHIP-00263,263,In Transit,2026-04-21 22:48:18,
SHIP-00264,264,In Transit,2026-04-15 04:56:54,
SHIP-00265,265,Cancelled,2026-05-05 23:29:10,
SHIP-00266,266,Delivered,2026-05-21 17:51:02,2026-05-26 17:51:02
SHIP-00267,267,In Transit,2026-04-29 04:35:33,
SHIP-00268,268,Delivered,2026-07-03 15:01:39,2026-07-07 15:01:39
SHIP-00269,269,Delivered,2026-04-17 21:26:15,2026-04-23 21:26:15
SHIP-00270,270,In Transit,2026-07-28 09:23:08,
SHIP-00271,271,Cancelled,2026-04-25 12:01:55,
SHIP-00272,272,Cancelled,2025-12-22 06:23:49,
SHIP-00273,273,In Transit,2026-02-09 10:30:57,
SHIP-00274,274,In Transit,2026-04-01 02:46:13,
SHIP-00275,275,In Transit,2026-05-26 22:03:19,
SHIP-00276,276,Delivered,2025-10-04 08:27:11,2025-10-11 08:27:11
SHIP-00277,277,Delivered,2025-12-17 05:13:58,2025-12-22 05:13:58
SHIP-00278,278,Delivered,2026-06-01 10:36:12,2026-06-07 10:36:12
SHIP-00279,279,Delivered,2025-11-04 13:59:03,2025-11-09 13:59:03
SHIP-00280,280,Delivered,2025-10-19 16:50:47,2025-10-23 16:50:47
SHIP-00281,281,Cancelled,2026-03-16 10:41:04,
SHIP-00282,282,Delivered,2026-08-22 06:12:36,2026-08-30 06:12:36
SHIP-00283,283,Delivered,2026-03-14 07:41:24,2026-03-22 07:41:24
SHIP-00284,284,Cancelled,2026-08-01 01:46:23,
SHIP-00285,285,Cancelled,2026-06-30 18:05:21,
SHIP-00286,286,Delivered,2025-12-04 06:54:13,2025-12-07 06:54:13
SHIP-00287,287,Delivered,2026-06-29 15:23:54,2026-07-03 15:23:54
SHIP-00288,288,Cancelled,2026-02-23 10:07:40,
SHIP-00289,289,Delivered,2026-06-21 23:51:00,2026-06-23 23:51:00
SHIP-00290,290,In Transit,2026-06-01 02:31:32,
SHIP-00291,291,Delivered,2026-01-03 03:27:43,2026-01-10 03:27:43
SHIP-00292,292,Delivered,2025-10-12 11:54:56,2025-10-15 11:54:56
SHIP-00293,293,Delivered,2026-08-18 02:51:25,2026-08-22 02:51:25
SHIP-00294,294,Cancelled,2025-10-22 20:12:27,
SHIP-00295,295,Cancelled,2026-08-19 10:28:27,
SHIP-00296,296,Delivered,2026-07-11 14:09:05,2026-07-18 14:09:05
SHIP-00297,297,Delivered,2026-05-23 22:40:31,2026-05-26 22:40:31
SHIP-00298,298,Delivered,2026-08-24 08:18:14,2026-08-27 08:18:14
SHIP-00299,299,Delivered,2026-08-19 17:13:12,2026-08-23 17:13:12
SHIP-00300,300,In Transit,2026-06-22 07:11:15,
SHIP-00301,301,Cancelled,2026-01-12 00:39:42,
SHIP-00302,302,Delivered,2026-06-17 05:17:38,2026-06-22 05:17:38
SHIP-00303,303,In Transit,2025-09-05 12:22:23,
SHIP-00304,304,Cancelled,2026-03-16 09:49:46,
SHIP-00305,305,Delivered,2026-02-14 12:54:38,2026-02-16 12:54:38
SHIP-00306,306,Delivered,2026-05-05 04:13:03,2026-05-13 04:13:03
SHIP-00307,307,Delivered,2026-05-04 23:56:37,2026-05-09 23:56:37
SHIP-00308,308,Cancelled,2026-04-02 22:28:44,
SHIP-00309,309,Delivered,2026-06-28 19:28:41,2026-07-01 19:28:41
SHIP-00310,310,Cancelled,2026-08-09 20:44:18,
SHIP-00311,311,Delivered,2025-10-10 00:06:05,2025-10-14 00:06:05
SHIP-00312,312,Delivered,2025-11-24 19:59:32,2025-11-26 19:59:32
SHIP-00313,313,Cancelled,2025-09-09 13:43:32,
SHIP-00314,314,Delivered,2026-07-20 09:21:21,2026-07-28 09:21:21
SHIP-00315,315,Cancelled,2026-03-25 11:31:40,
SHIP-00316,316,Delivered,2026-08-01 17:16:45,2026-08-04 17:16:45
SHIP-00317,317,Delivered,2025-11-21 06:49:02,2025-11-29 06:49:02
SHIP-00318,318,Cancelled,2025-09-24 12:30:39,
SHIP-00319,319,Delivered,2026-06-29 08:05:01,2026-07-01 08:05:01
SHIP-00320,320,Delivered,2026-07-29 13:50:21,2026-08-04 13:50:21
SHIP-00321,321,Cancelled,2025-12-20 19:17:31,
SHIP-00322,322,In Transit,2026-01-27 13:23:20,
SHIP-00323,323,Cancelled,2025-10-22 11:37:02,
SHIP-00324,324,In Transit,2026-08-12 01:04:01,
SHIP-00325,325,Delivered,2025-12-21 14:21:08,2025-12-27 14:21:08
SHIP-00326,326,In Transit,2026-02-27 08:35:41,
SHIP-00327,327,Delivered,2025-10-05 22:19:38,2025-10-09 22:19:38
SHIP-00328,328,Cancelled,2026-07-22 11:52:03,
SHIP-00329,329,Delivered,2025-10-20 23:33:50,2025-10-24 23:33:50
SHIP-00330,330,Delivered,2026-02-14 02:53:52,2026-02-18 02:53:52
SHIP-00331,331,Delivered,2026-05-03 07:41:12,2026-05-05 07:41:12
SHIP-00332,332,Delivered,2026-05-30 20:33:12,2026-06-06 20:33:12
SHIP-00333,333,Cancelled,2026-08-11 22:32:50,
SHIP-00334,334,Cancelled,2026-02-01 12:19:48,
SHIP-00335,335,Delivered,2026-05-30 12:55:03,2026-06-06 12:55:03
SHIP-00336,336,In Transit,2025-10-26 20:52:34,
SHIP-00337,337,Delivered,2026-01-30 23:08:37,2026-02-02 23:08:37
SHIP-00338,338,Delivered,2025-10-07 14:21:55,2025-10-10 14:21:55
SHIP-00339,339,Delivered,2026-02-27 03:51:51,2026-03-05 03:51:51
SHIP-00340,340,Delivered,2026-01-27 11:48:41,2026-02-04 11:48:41
SHIP-00341,341,Delivered,2026-08-14 23:10:29,2026-08-17 23:10:29
SHIP-00342,342,In Transit,2025-09-12 09:08:55,
SHIP-00343,343,In Transit,2026-01-13 18:20:32,
SHIP-00344,344,Delivered,2026-02-10 08:57:18,2026-02-16 08:57:18
SHIP-00345,345,Delivered,2026-08-14 14:42:14,2026-08-18 14:42:14
SHIP-00346,346,In Transit,2026-07-10 21:02:11,
SHIP-00347,347,Cancelled,2025-10-07 17:17:03,
SHIP-00348,348,Delivered,2026-05-08 20:52:27,2026-05-16 20:52:27
SHIP-00349,349,Delivered,2026-03-19 07:01:21,2026-03-26 07:01:21
SHIP-00350,350,Cancelled,2026-08-23 13:53:54,
SHIP-00351,351,Delivered,2026-01-09 10:24:51,2026-01-14 10:24:51
SHIP-00352,352,Delivered,2026-01-24 20:21:43,2026-01-27 20:21:43
SHIP-00353,353,In Transit,2025-11-08 18:10:54,
SHIP-00354,354,Delivered,2025-10-16 01:11:18,2025-10-21 01:11:18
SHIP-00355,355,Delivered,2026-07-07 04:01:15,2026-07-09 04:01:15
SHIP-00356,356,Delivered,2026-02-13 12:18:31,2026-02-15 12:18:31
SHIP-00357,357,Delivered,2026-05-01 12:02:14,2026-05-09 12:02:14
SHIP-00358,358,Delivered,2026-04-22 19:23:34,2026-04-24 19:23:34
SHIP-00359,359,Cancelled,2026-04-06 12:48:13,
SHIP-00360,360,Delivered,2025-09-09 05:34:47,2025-09-17 05:34:47
SHIP-00361,361,Delivered,2026-06-14 19:13:05,2026-06-17 19:13:05
SHIP-00362,362,Delivered,2025-11-29 09:25:55,2025-12-01 09:25:55
SHIP-00363,363,Cancelled,2025-10-16 10:11:02,
SHIP-00364,364,Delivered,2026-03-25 15:19:14,2026-03-30 15:19:14
SHIP-00365,365,Cancelled,2025-09-25 11:47:08,
SHIP-00366,366,Cancelled,2026-06-06 21:33:05,
SHIP-00367,367,In Transit,2025-11-15 02:15:26,
SHIP-00368,368,Delivered,2025-11-19 07:20:35,2025-11-23 07:20:35
SHIP-00369,369,Delivered,2026-07-15 01:54:24,2026-07-18 01:54:24
SHIP-00370,370,Cancelled,2025-12-29 10:26:23,
SHIP-00371,371,Delivered,2025-10-24 07:47:24,2025-10-28 07:47:24
SHIP-00372,372,In Transit,2026-07-26 08:12:16,
SHIP-00373,373,Delivered,2025-09-01 11:13:16,2025-09-03 11:13:16
SHIP-00374,374,Delivered,2026-07-11 22:56:51,2026-07-15 22:56:51
SHIP-00375,375,Delivered,2025-10-23 06:39:56,2025-10-27 06:39:56
SHIP-00376,376,Delivered,2025-10-18 21:50:43,2025-10-20 21:50:43
SHIP-00377,377,Delivered,2025-12-01 23:32:24,2025-12-09 23:32:24
SHIP-00378,378,Delivered,2025-11-04 03:57:55,2025-11-06 03:57:55
SHIP-00379,379,In Transit,2026-04-30 21:02:17,
SHIP-00380,380,In Transit,2025-09-09 20:20:53,
SHIP-00381,381,Delivered,2025-09-06 20:37:39,2025-09-13 20:37:39
SHIP-00382,382,Cancelled,2026-06-15 23:10:53,
SHIP-00383,383,Delivered,2025-11-26 08:01:00,2025-12-03 08:01:00
SHIP-00384,384,Delivered,2025-12-28 16:28:06,2026-01-04 16:28:06
SHIP-00385,385,Delivered,2025-11-03 01:45:57,2025-11-09 01:45:57
SHIP-00386,386,Delivered,2025-09-19 13:40:57,2025-09-26 13:40:57
